sku_id,pack_id_db,gtin,swissmedic_no8,preparation_id,product_name,description_de,form_type,form_type_raw,container_count,unit_count,volume_per_unit,volume_unit,total_volume,dose_count,multiplier,multiplied_count,total_units,substance_name,substance_qty,substance_qty_raw,substance_unit,total_substance,is_alt,annotation,parse_confidence,parse_pattern,org_gen_code,atc_code,public_price,exfactory_price
38,15,7680631770027,63177002,9,Abilify Maintena Depot,Inj kit 1 Stk,INJECTION_KIT,Inj kit,1.0,1.0,,,,,,,1,Aripiprazolum,300.0,300,mg,300.0,0,,HIGH,P5_FORM_STK,,N05AX12,482.35,405.87
39,9264,7680631770034,63177003,9,Abilify Maintena Depot,Inj kit 1 Stk,INJECTION_KIT,Inj kit,1.0,1.0,,,,,,,1,Aripiprazolum,300.0,300,mg,300.0,0,,HIGH,P5_FORM_STK,,N05AX12,311.95,271.72
40,16,7680657740011,65774001,10,Abilify Maintena Depot,1 Stk,,,,1.0,,,,,,,1,Aripiprazolum,400.0,400,mg,400.0,0,,HIGH,P9_SIMPLE,,N05AX12,311.95,271.72
41,11862,7680679500013,67950001,3931,Abirateron Accord,Blist 56 Stk,BLISTER,Blist,56.0,56.0,,,,,,,56,Abirateroni acetas,500.0,500,mg,28000.0,0,,HIGH,P5_FORM_STK,G,L02BX03,992.05,897.8
42,13103,7680689810010,68981001,4218,Abirateron Devatis,Blist 56 Stk,BLISTER,Blist,56.0,56.0,,,,,,,56,Abirateroni acetas,500.0,500,mg,28000.0,0,,HIGH,P5_FORM_STK,G,L02BX03,899.9,808.02
43,11697,7680678180025,67818002,3900,Abirateron Sandoz,Blist 56 Stk,BLISTER,Blist,56.0,56.0,,,,,,,56,Abirateroni acetas,500.0,500,mg,28000.0,0,,HIGH,P5_FORM_STK,G,L02BX03,992.05,897.8
44,12174,7680678180032,67818003,3900,Abirateron Sandoz,Blist 28 Stk,BLISTER,Blist,28.0,28.0,,,,,,,28,Abirateroni acetas,500.0,500,mg,14000.0,0,,HIGH,P5_FORM_STK,G,L02BX03,992.85,897.8
45,11698,7680681410027,68141002,3901,Abirateron Spirig HC,Blist 56 Stk,BLISTER,Blist,56.0,56.0,,,,,,,56,Abirateroni acetas,500.0,500,mg,28000.0,0,,HIGH,P5_FORM_STK,G,L02BX03,992.05,897.8
46,12500,7680688900019,68890001,4101,Abirateron Viatris,56 Stk,,,,56.0,,,,,,,56,Abirateroni acetas,500.0,500,mg,28000.0,0,,HIGH,P9_SIMPLE,G,L02BX03,992.05,897.8
47,12501,7680688900026,68890002,4101,Abirateron Viatris,28 Stk,,,,28.0,,,,,,,28,Abirateroni acetas,500.0,500,mg,14000.0,0,,HIGH,P9_SIMPLE,G,L02BX03,992.85,897.8
48,12127,7680683340018,68334001,3996,Abirateron Zentiva,Blist 56 Stk,BLISTER,Blist,56.0,56.0,,,,,,,56,Abirateroni acetas,500.0,500,mg,28000.0,0,,HIGH,P5_FORM_STK,G,L02BX03,992.05,897.8
49,12128,7680683190019,68319001,3997,Abirateron-Teva,Blist 56 Stk,BLISTER,Blist,56.0,56.0,,,,,,,56,Abirateroni acetas,500.0,500,mg,28000.0,0,,HIGH,P5_FORM_STK,G,L02BX03,992.05,897.8
50,17,7680631820012,63182001,11,Abraxane,Durchstf 1 Stk,VIAL,Durchstf,1.0,1.0,,,,,,,1,Paclitaxelum,100.0,100,mg,100.0,0,,HIGH,P5_FORM_STK,O,L01CD01,332.1,296.98
51,18,7680631820029,63182002,11,Abraxane,Durchstf 1 Stk,VIAL,Durchstf,1.0,1.0,,,,,,,1,Paclitaxelum,100.0,100,mg,100.0,0,,HIGH,P5_FORM_STK,O,L01CD01,1003.35,859.73
52,11247,7680678310019,67831001,3811,Abrilada,Fertpen 0.8 ml,PEN,Fertpen,1.0,,0.8,ml,0.8,,,,1,Adalimumabum,40.0,40,mg,40.0,0,,HIGH,P6_FORM_VOL,,L04AB04,419.95,371.1
53,11248,7680678310026,67831002,3811,Abrilada,2 Fertpen 0.8 ml,PEN,Fertpen,2.0,,0.8,ml,1.6,,,,2,Adalimumabum,40.0,40,mg,80.0,0,,HIGH,P4_N_FORM_VOL,,L04AB04,823.5,742.2
54,11797,7680678320018,67832001,3917,Abrilada,Fertspr 0.8 ml,SYRINGE,Fertspr,1.0,,0.8,ml,0.8,,,,1,Adalimumabum,40.0,40,mg,40.0,0,,HIGH,P6_FORM_VOL,,L04AB04,419.95,371.1
55,11798,7680678320025,67832002,3917,Abrilada,2 Fertspr 0.8 ml,SYRINGE,Fertspr,2.0,,0.8,ml,1.6,,,,2,Adalimumabum,40.0,40,mg,80.0,0,,HIGH,P4_N_FORM_VOL,,L04AB04,823.5,742.2
56,13891,7680696910017,69691001,4412,Abrysvo,Fertspr 1 Stk,SYRINGE,Fertspr,1.0,1.0,,,,,,,1,Antigenum F praefusionis stabilitum RSV subgrupi A,60.0,60,mcg,60.0,0,,HIGH,P5_FORM_STK,,J07BX05,185.1,155.12
57,19,7680658230016,65823001,12,Acarizax Lyophilisat zum Einnehmen,Ds 30 Stk,DISPENSER,Ds,30.0,30.0,,,,,,,30,Acari allergeni extractum,12.0,12,U,360.0,0,,HIGH,P5_FORM_STK,,V01AA03,100.5,77.3
58,20,7680658230023,65823002,12,Acarizax Lyophilisat zum Einnehmen,Ds 90 Stk,DISPENSER,Ds,90.0,90.0,,,,,,,90,Acari allergeni extractum,12.0,12,U,1080.0,0,,HIGH,P5_FORM_STK,,V01AA03,268.65,231.92
59,10070,7680667150015,66715001,3574,Accofil,5 Fertspr 0.5 ml,SYRINGE,Fertspr,5.0,,0.5,ml,2.5,,,,5,Filgrastimum ADNr,30.0,30,Mio U,150.0,0,,HIGH,P4_N_FORM_VOL,,L03AA02,455.25,403.51
60,10071,7680667150022,66715002,3574,Accofil,5 Fertspr 0.5 ml,SYRINGE,Fertspr,5.0,,0.5,ml,2.5,,,,5,Filgrastimum ADNr,30.0,30,Mio U,150.0,0,,HIGH,P4_N_FORM_VOL,,L03AA02,668.45,568.0
61,12767,7680667150039,66715003,3574,Accofil,Fertspr 1 Stk,SYRINGE,Fertspr,1.0,1.0,,,,,,,1,Filgrastimum ADNr,30.0,30,Mio U,30.0,0,,HIGH,P5_FORM_STK,,L03AA02,78.85,57.43
62,12768,7680667150046,66715004,3574,Accofil,Fertspr 1 Stk,SYRINGE,Fertspr,1.0,1.0,,,,,,,1,Filgrastimum ADNr,30.0,30,Mio U,30.0,0,,HIGH,P5_FORM_STK,,L03AA02,106.4,82.76
63,12736,7680667150053,66715005,3574,Accofil,Fertspr 5 Stk,SYRINGE,Fertspr,5.0,5.0,,,,,,,5,Filgrastimum ADNr,30.0,30,Mio U,150.0,0,,HIGH,P5_FORM_STK,,L03AA02,335.45,293.98
64,12737,7680667150060,66715006,3574,Accofil,Fertspr 5 Stk,SYRINGE,Fertspr,5.0,5.0,,,,,,,5,Filgrastimum ADNr,30.0,30,Mio U,150.0,0,,HIGH,P5_FORM_STK,,L03AA02,465.5,413.82
65,21,7680537500360,53750036,13,Accolate,60 Stk,,,,60.0,,,,,,,60,Zafirlukastum,20.0,20,mg,1200.0,0,,HIGH,P9_SIMPLE,,R03DC01,50.55,29.75
66,22,7680546371364,54637136,14,Accupaque,Plast Fl 50 ml,BOTTLE,Plast Fl,1.0,,50.0,ml,50.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,51.2,32.0
67,23,7680546371524,54637152,14,Accupaque,Plast Fl 100 ml,BOTTLE,Plast Fl,1.0,,100.0,ml,100.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,82.9,61.15
68,24,7680546371685,54637168,14,Accupaque,Plast Fl 200 ml,BOTTLE,Plast Fl,1.0,,200.0,ml,200.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,147.6,120.6
69,10456,7680546371845,54637184,14,Accupaque,Plast Fl 500 ml,BOTTLE,Plast Fl,1.0,,500.0,ml,500.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,344.3,301.5
70,25,7680546372002,54637200,14,Accupaque,Plast Fl 50 ml,BOTTLE,Plast Fl,1.0,,50.0,ml,50.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,53.35,33.97
71,26,7680546372163,54637216,14,Accupaque,Plast Fl 100 ml,BOTTLE,Plast Fl,1.0,,100.0,ml,100.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,89.15,66.88
72,27,7680546372323,54637232,14,Accupaque,Plast Fl 200 ml,BOTTLE,Plast Fl,1.0,,200.0,ml,200.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,157.0,129.28
73,10457,7680546372484,54637248,14,Accupaque,Plast Fl 500 ml,BOTTLE,Plast Fl,1.0,,500.0,ml,500.0,,,,1,Iodum,300.0,300,mg,300.0,0,,HIGH,P6_FORM_VOL,G,V08AB02,367.9,323.2
74,28,7680501410398,50141039,15,Accupro 20,30 Stk,,,,30.0,,,,,,,30,Quinaprilum,10.0,10,mg,300.0,0,,HIGH,P9_SIMPLE,,C09AA06,18.0,8.56
75,29,7680501410558,50141055,15,Accupro 20,100 Stk,,,,100.0,,,,,,,100,Quinaprilum,10.0,10,mg,1000.0,0,,HIGH,P9_SIMPLE,,C09AA06,35.15,16.33
76,30,7680501410633,50141063,15,Accupro 20,30 Stk,,,,30.0,,,,,,,30,Quinaprilum,10.0,10,mg,300.0,0,,HIGH,P9_SIMPLE,,C09AA06,28.35,14.02
77,31,7680501410985,50141098,15,Accupro 20,100 Stk,,,,100.0,,,,,,,100,Quinaprilum,10.0,10,mg,1000.0,0,,HIGH,P9_SIMPLE,,C09AA06,47.1,26.76
78,32,7680519460224,51946022,16,Accuretic 20/12.5,100 Stk,,,,100.0,,,,,,,100,Quinaprilum,10.0,10,mg,1000.0,0,,HIGH,P9_SIMPLE,,C09BA06,38.0,18.82
79,33,7680519460576,51946057,16,Accuretic 20/12.5,30 Stk,,,,30.0,,,,,,,30,Quinaprilum,10.0,10,mg,300.0,0,,HIGH,P9_SIMPLE,,C09BA06,16.5,7.23
80,34,7680519460651,51946065,16,Accuretic 20/12.5,100 Stk,,,,100.0,,,,,,,100,Quinaprilum,10.0,10,mg,1000.0,0,,HIGH,P9_SIMPLE,,C09BA06,45.1,24.99
81,13308,7680689570020,68957002,4263,Aceduo Leman,Disp 45 g,DISPENSER,Disp,1.0,,45.0,g,45.0,,,,1,Adapalenum,1.0,1,mg,1.0,0,,HIGH,P6_FORM_VOL,G,D10AD53,30.3,12.75
82,13196,7680341860018,34186001,18,Acetalgin,5 x 100 Stk,,,,100.0,,,,,5.0,100.0,500,Paracetamolum,500.0,500,mg,250000.0,0,,HIGH,P3_MULT_UNIT,,N02BE01,43.4,24.8
83,39,7680341860148,34186014,18,Acetalgin,100 Stk,,,,100.0,,,,,,,100,Paracetamolum,500.0,500,mg,50000.0,0,,HIGH,P9_SIMPLE,,N02BE01,15.6,5.85
84,10373,7680341860308,34186030,18,Acetalgin,500 Stk,,,,500.0,,,,,,,500,Paracetamolum,500.0,500,mg,250000.0,0,,HIGH,P9_SIMPLE,,N02BE01,43.4,24.8
85,38,7680341860575,34186057,18,Acetalgin,20 Stk,,,,20.0,,,,,,,20,Paracetamolum,500.0,500,mg,10000.0,0,,HIGH,P9_SIMPLE,,N02BE01,2.55,1.38
86,40,7680494930101,49493010,19,Acetalgin,10 Stk,,,,10.0,,,,,,,10,Paracetamolum,125.0,125,mg,1250.0,0,,HIGH,P9_SIMPLE,,N02BE01,2.9,1.56
87,41,7680494930538,49493053,19,Acetalgin,10 Stk,,,,10.0,,,,,,,10,Paracetamolum,125.0,125,mg,1250.0,0,,HIGH,P9_SIMPLE,,N02BE01,3.2,1.72
88,42,7680494931184,49493118,19,Acetalgin,10 Stk,,,,10.0,,,,,,,10,Paracetamolum,125.0,125,mg,1250.0,0,,HIGH,P9_SIMPLE,,N02BE01,3.65,1.97
89,35,7680623550019,62355001,17,Acetalgin,16 Stk,,,,16.0,,,,,,,16,Paracetamolum,1.0,1,g,16.0,0,,HIGH,P9_SIMPLE,,N02BE01,11.65,2.21
90,36,7680623550026,62355002,17,Acetalgin,40 Stk,,,,40.0,,,,,,,40,Paracetamolum,1.0,1,g,40.0,0,,HIGH,P9_SIMPLE,,N02BE01,14.2,4.58
91,37,7680623550033,62355003,17,Acetalgin,100 Stk,,,,100.0,,,,,,,100,Paracetamolum,1.0,1,g,100.0,0,,HIGH,P9_SIMPLE,,N02BE01,26.25,9.05
92,11421,7680521320011,52132001,20,Acetylcystein Zentiva,30 Stk,,,,30.0,,,,,,,30,Acetylcysteinum,200.0,200,mg,6000.0,0,,HIGH,P9_SIMPLE,G,R05CB01,4.4,2.26
93,11422,7680521320028,52132002,20,Acetylcystein Zentiva,10 Stk,,,,10.0,,,,,,,10,Acetylcysteinum,200.0,200,mg,2000.0,0,,HIGH,P9_SIMPLE,G,R05CB01,4.55,2.5
94,43,7680521320455,52132045,20,Acetylcystein Zentiva,30 Stk,,,,30.0,,,,,,,30,Acetylcysteinum,200.0,200,mg,6000.0,0,,HIGH,P9_SIMPLE,G,R05CB01,5.3,2.88
95,44,7680521320530,52132053,20,Acetylcystein Zentiva,10 Stk,,,,10.0,,,,,,,10,Acetylcysteinum,200.0,200,mg,2000.0,0,,HIGH,P9_SIMPLE,G,R05CB01,5.85,3.18
96,12632,7680688000016,68800001,4124,AciVision,Tb 4.5 g,TUBE,Tb,1.0,,4.5,g,4.5,,,,1,Aciclovirum,30.0,30,mg,30.0,0,,HIGH,P6_FORM_VOL,,S01AD03,26.95,9.69
97,45,7680618760010,61876001,21,Acicutan,30 Stk,,,,30.0,,,,,,,30,Acitretinum,10.0,10,mg,300.0,0,,HIGH,P9_SIMPLE,G,D05BB02,40.2,21.88
98,46,7680618760027,61876002,21,Acicutan,100 Stk,,,,100.0,,,,,,,100,Acitretinum,10.0,10,mg,1000.0,0,,HIGH,P9_SIMPLE,G,D05BB02,98.45,75.45
99,47,7680618760034,61876003,21,Acicutan,30 Stk,,,,30.0,,,,,,,30,Acitretinum,10.0,10,mg,300.0,0,,HIGH,P9_SIMPLE,G,D05BB02,69.35,48.67
100,48,7680618760041,61876004,21,Acicutan,100 Stk,,,,100.0,,,,,,,100,Acitretinum,10.0,10,mg,1000.0,0,,HIGH,P9_SIMPLE,G,D05BB02,185.85,155.81
101,49,7680367520170,36752017,22,Acidum folicum Streuli,100 Stk,,,,100.0,,,,,,,100,Acidum folicum,5.0,5,mg,500.0,0,,HIGH,P9_SIMPLE,,B03BB01,14.95,5.25
102,50,7680573630014,57363001,23,Aclasta,Amp 100 ml,AMPOULE,Amp,1.0,,100.0,ml,100.0,,,,1,Acidum zoledronicum,5.0,5,mg,5.0,0,,HIGH,P6_FORM_VOL,O,M05BA08,254.45,219.4
103,51,7680625130011,62513001,24,Acnatac,Tb 30 g,TUBE,Tb,1.0,,30.0,g,30.0,,,,1,Clindamycinum,10.0,10,mg,10.0,0,,HIGH,P6_FORM_VOL,,D10AF51,32.85,15.09
104,11380,7680470330017,47033001,25,Acne Creme plus,Tb 30 ml,TUBE,Tb,1.0,,30.0,ml,30.0,,,,1,Benzoylis peroxidum,50.0,50,mg,50.0,0,,HIGH,P6_FORM_VOL,,D10AE51,11.5,6.24
105,52,7680470330123,47033012,25,Acne Creme plus,30 ml,,,,,30.0,ml,30.0,,,,1,Benzoylis peroxidum,50.0,50,mg,50.0,0,,HIGH,P9_SIMPLE,,D10AE51,13.75,7.45
106,53,7680300960100,30096010,26,Acne Widmer,50 ml,,,,,50.0,ml,50.0,,,,1,Acidum salicylicum,20.0,20,mg,20.0,0,,HIGH,P9_SIMPLE,,D10AB02,8.4,4.55
107,54,7680588680011,58868001,27,Actemra,Durchstf 4 ml,VIAL,Durchstf,1.0,,4.0,ml,4.0,,,,1,Tocilizumabum,80.0,80,mg,80.0,0,,HIGH,P6_FORM_VOL,,L04AC07,157.55,129.76
108,56,7680588680028,58868002,27,Actemra,Durchstf 10 ml,VIAL,Durchstf,1.0,,10.0,ml,10.0,,,,1,Tocilizumabum,80.0,80,mg,80.0,0,,HIGH,P6_FORM_VOL,,L04AC07,369.2,324.39
109,57,7680588680035,58868003,27,Actemra,Durchstf 20 ml,VIAL,Durchstf,1.0,,20.0,ml,20.0,,,,1,Tocilizumabum,80.0,80,mg,80.0,0,,HIGH,P6_FORM_VOL,,L04AC07,722.0,648.78
110,55,7680631660014,63166001,28,Actemra,Fertspr 4 Stk,SYRINGE,Fertspr,4.0,4.0,,,,,,,4,Tocilizumabum,162.0,162,mg,648.0,0,,HIGH,P5_FORM_STK,,L04AC07,1063.7,962.96
111,9547,7680669310011,66931001,3495,Actemra,Fertpen 4 Stk,PEN,Fertpen,4.0,4.0,,,,,,,4,Tocilizumabum,162.0,162,mg,648.0,0,,HIGH,P5_FORM_STK,,L04AC07,1063.7,962.96
112,58,7680614670016,61467001,29,Actikerall,Fl 25 ml,BOTTLE,Fl,1.0,,25.0,ml,25.0,,,,1,Fluorouracilum,5.0,5,mg,5.0,0,,HIGH,P6_FORM_VOL,,D11AX,54.25,34.81
113,59,7680570020016,57002001,30,Actiq,3 Stk,,,,3.0,,,,,,,3,Fentanylum,0.2,0.2,mg,0.6000000000000001,0,,HIGH,P9_SIMPLE,,N02AB03,39.5,21.23
114,60,7680570020078,57002007,30,Actiq,30 Stk,,,,30.0,,,,,,,30,Fentanylum,0.2,0.2,mg,6.0,0,,HIGH,P9_SIMPLE,,N02AB03,235.75,201.67
115,61,7680570020092,57002009,30,Actiq,3 Stk,,,,3.0,,,,,,,3,Fentanylum,0.2,0.2,mg,0.6000000000000001,0,,HIGH,P9_SIMPLE,,N02AB03,39.5,21.23
116,62,7680570020153,57002015,30,Actiq,30 Stk,,,,30.0,,,,,,,30,Fentanylum,0.2,0.2,mg,6.0,0,,HIGH,P9_SIMPLE,,N02AB03,235.75,201.67
117,63,7680570020177,57002017,30,Actiq,3 Stk,,,,3.0,,,,,,,3,Fentanylum,0.2,0.2,mg,0.6000000000000001,0,,HIGH,P9_SIMPLE,,N02AB03,39.5,21.23
118,64,7680570020238,57002023,30,Actiq,30 Stk,,,,30.0,,,,,,,30,Fentanylum,0.2,0.2,mg,6.0,0,,HIGH,P9_SIMPLE,,N02AB03,235.75,201.67
119,65,7680570020252,57002025,30,Actiq,3 Stk,,,,3.0,,,,,,,3,Fentanylum,0.2,0.2,mg,0.6000000000000001,0,,HIGH,P9_SIMPLE,,N02AB03,39.5,21.23
120,66,7680570020313,57002031,30,Actiq,30 Stk,,,,30.0,,,,,,,30,Fentanylum,0.2,0.2,mg,6.0,0,,HIGH,P9_SIMPLE,,N02AB03,235.75,201.67
