cashback_id,limitation_id,preparation_id,limitation_code,product_name,cashback_extract,cashback_company,detection_patterns,rule_calc_type,rule_calc_value,rule_unit,rule_threshold_type,rule_threshold_value,rule_threshold_unit,rule_thresholds_all,rule_cond_treatment_stop,rule_cond_adverse_effects,rule_cond_treatment_failure,rule_cotreatments
133,2136,3885,ALUNBRIGPosC,Alunbrig Starterpackung,"Dans le cadre de l'utilisation d'ALUNBRIG post-crizotinib, Takeda Pharma AG remboursera à l'assureur maladie, auprès duquel la personne assurée était assuré au moment de l'achat, 9.079% du prix de fabrique pour chaque emballage d'ALUNBRIG acheté, à la demande de l'assureur maladie. Le remboursement de la taxe sur la valeur ajoutée ne peut pas être exigé en sus de ce montant. La demande de remboursement est faite à partir de la date de l'administration.",Takeda Pharma AG,company_rembourse,percentage,9.079,per_box,,,,,0,0,0,"[""ALUNBRIG""]"
320,3956,3885,ALUNBRIG.02,Alunbrig Starterpackung,"Dans le cadre de l'utilisation d'ALUNBRIG post-crizotinib, Takeda Pharma AG remboursera à l'assureur maladie, auprès duquel la personne assurée était assuré au moment de l'achat, 3.70% du prix de fabrique pour chaque emballage d'ALUNBRIG acheté, à la demande de l'assureur maladie. Le remboursement de la taxe sur la valeur ajoutée ne peut pas être exigé en sus de ce montant. La demande de remboursement est faite à partir de la date de l'administration.",Takeda Pharma AG,company_rembourse,percentage,3.7,per_box,,,,,0,0,0,"[""ALUNBRIG""]"
261,3448,4205,AMVUTTRA,Amvuttra,"Sur demande de l’assurance-maladie de l’assuré au moment de l’achat, le titulaire de l’autorisation, Alnylam Switzerland GmbH, remboursera un montant fixe du prix ex-factory pour chaque boîte d’AMVUTTRA achetée. La TVA ne peut pas être réclamée en plus de cette partie du prix ex-factory.",Alnylam Switzerland GmbH,titulaire_rembourse,amount_unspecified,,per_box,,,,,0,0,0,"[""AMVUTTRA""]"
338,4267,4205,AMVUTTRA.01,Amvuttra,"Sur demande de l’assureur-maladie de l’assuré au moment de l’achat, Alnylam Switzerland GmbH remboursera un montant fixe du prix ex-factory pour chaque boîte d’AMVUTTRA achetée. La TVA ne peut pas être réclamée en plus de cette partie du prix ex-factory.",Alnylam Switzerland GmbH,company_rembourse,amount_unspecified,,per_box,,,,,0,0,0,"[""AMVUTTRA""]"
169,2532,3865,ATOZET2,Atorvastatin Ezetimib Zentiva,"Le remboursement s'applique aux situations suivantes: &nbsp- patients à haut risque, selon la catégorie de risque du GSLA, qui n'atteignent pas la valeur cible de LDL <1.8 mmol/l et une réduction de 50% des LDL avec une statine hautement efficace (atorvastatine, rosuvastatine) seule à la dose maximale tolérée. &nbsp- patients à très haut risque, selon la catégorie de risque du GSLA, qui n'atteignent pas la valeur cible de LDL <1.4 mmol/l et une réduction de 50% des LDL avec une statine hautement efficace (atorvastatine, rosuvastatine) seule à dose maximale tolérée. &nbsp- patients présentant une intolérance aux statines, c'est-à-dire les patients qui, lors de la prise d'une statine, présentent des douleurs musculaires intolérables et/ou une faiblesse musculaire mesurable et/ou une augmentation de la créatinine kinase >5x la valeur limite supérieure. Avant de prescrire l'ézétimibe, il faut essayer une autre statine et, si celle-ci n'est pas tolérée, l'atorvastatine ou la rosuvastatine 5-10 mg 1-2x par semaine.",,percentage,percentage,50.0,per_week,,,,,0,1,0,
170,2542,296,ATOZET2,Atozet,"Le remboursement s'applique aux situations suivantes: &nbsp- patients à haut risque, selon la catégorie de risque du GSLA, qui n'atteignent pas la valeur cible de LDL <1.8 mmol/l et une réduction de 50% des LDL avec une statine hautement efficace (atorvastatine, rosuvastatine) seule à la dose maximale tolérée. &nbsp- patients à très haut risque, selon la catégorie de risque du GSLA, qui n'atteignent pas la valeur cible de LDL <1.4 mmol/l et une réduction de 50% des LDL avec une statine hautement efficace (atorvastatine, rosuvastatine) seule à dose maximale tolérée. &nbsp- patients présentant une intolérance aux statines, c'est-à-dire les patients qui, lors de la prise d'une statine, présentent des douleurs musculaires intolérables et/ou une faiblesse musculaire mesurable et/ou une augmentation de la créatinine kinase >5x la valeur limite supérieure. Avant de prescrire l'ézétimibe, il faut essayer une autre statine et, si celle-ci n'est pas tolérée, l'atorvastatine ou la rosuvastatine 5-10 mg 1-2x par semaine.",,percentage,percentage,50.0,per_week,,,,,0,1,0,
344,4320,4401,BALVERSA,Balversa,"Pour chaque boîte de BALVERSA achetée, le titulaire de l’autorisation rembourse une partie fixe du prix de fabrique à l’assureur-maladie, auprès duquel la personne était assurée lors de la remise du médicament, et ce dès la première demande. Le remboursement de la taxe sur la valeur ajoutée (TVA) ne peut pas être exigé en sus de cette partie fixe du prix de fabrique.",Pour chaque boîte de BALVERSA,titulaire_rembourse,undisclosed_fixed,,per_box,,,,,0,0,0,"[""BALVERSA""]"
21,1013,3376,BESPONSA,Besponsa,"Si BESPONSA doit être utilisé pour plus de 3 cycles, l’entreprise Pfizer AG rembourse, dans le cadre d’un traitement par BESPONSA et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix départ usine à partir du 4e cycle ou à partir du 11e emballage de BESPONSA. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.",Si BESPONSA,company_rembourse,full_refund_pex,,unknown,from_cycle,4.0,cycles,"[{""type"": ""from_cycle"", ""value"": 4, ""unit"": ""cycles"", ""match"": ""à partir du 4e cycle""}, {""type"": ""more_than"", ""value"": 3, ""unit"": ""cycles"", ""match"": ""plus de 3 cycles""}]",0,0,0,"[""BESPONSA""]"
134,2140,3887,BESREMI,Besremi,"La société OrphaSwiss GmbH rembourse, sur demande de la caisse maladie auprès de laquelle le ou la patient(e) est assuré(e) au moment de la prise en charge, un montant forfaitaire sur le prix de fabrique de chaque boîte de BESREMI utilisée dans la cadre du traitement. Le remboursement de la TVA ne peut pas être réclamé en plus de cette part du prix de fabrique.",La société OrphaSwiss GmbH,company_rembourse,amount_unspecified,,per_box,,,,,0,0,0,"[""BESREMI""]"
332,4117,3887,BESREMI.01,Besremi,"Sur demande de l'assureur-maladie auprès duquel la personne assurée était assurée au moment de l'achat, Orpha Swiss GmbH rembourse, pour chaque boîte de BESREMI achetée, une part définie du prix de fabrique. La TVA ne peut pas être récupérée en plus de cette part du prix de fabrique.",Orpha Swiss GmbH,company_rembourse,unknown,,per_box,,,,,0,0,0,"[""BESREMI""]"
321,3963,4038,BIMZELX.03a,Bimzelx,"UCB-Pharma SA rembourse à l'assurance-maladie auprès duquel la personne assurée était assurée au moment de l'achat, à la première demande de celui-ci, une part de CHF 174.92 par emballage de 1 pièce ou de CHF 349.84 par emballage de 2 pièces pour chaque boîte de BIMZELX achetée pour le traitement de la spondylarthrite axiale radiologique. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus de ce montant. La demande de remboursement doit être faite à partir du moment de l'administration.",UCB-Pharma SA,company_rembourse,chf_fixed,174.92,per_box,,,,,0,0,0,"[""BIMZELX""]"
195,2704,4016,BLENREP,Blenrep,"Sur demande de l’assureur maladie auprès duquel la personne était assurée au moment de l’achat, le titulaire de l’autorisation rembourse intégralement, au prix de fabrique actuel, les deux premiers cycles de traitement pour tous les patients. La taxe sur la valeur ajoutée ne peut pas être exigée en plus de cette part du prix de fabrique. La demande de remboursement doit être faite dès le moment de l’administration.",,titulaire_rembourse,unknown,,unknown,,,,,0,0,0,
1,164,412,BLINCYTO,Blincyto,"Si Blincyto doit être utilisé > 2 cycles, la société AMGEN Switzerland AG rembourse, dans le cadre d’un traitement par BLINCYTO et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix départ usine à partir du 55e paquet de BLINCYTO. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l’administration du traitement.",AMGEN Switzerland AG,company_rembourse,full_refund_pex,,unknown,greater_than,2.0,cycles,"[{""type"": ""greater_than"", ""value"": 2, ""unit"": ""cycles"", ""match"": ""> 2 cycles""}]",0,0,0,"[""BLINCYTO""]"
35,1172,412,BLINCYTO2,Blincyto,"Si Blincyto doit être utilisé > 2 cycles, la société AMGEN Switzerland AG rembourse, dans le cadre d’un traitement par BLINCYTO et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix départ usine à partir du 55e paquet de BLINCYTO. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l’administration du traitement.",AMGEN Switzerland AG,company_rembourse,full_refund_pex,,unknown,greater_than,2.0,cycles,"[{""type"": ""greater_than"", ""value"": 2, ""unit"": ""cycles"", ""match"": ""> 2 cycles""}]",0,0,0,"[""BLINCYTO""]"
94,1788,412,BLINCYTO3,Blincyto,"Si BLINCYTO doit être utilisé > 2 cycles, le laboratoire AMGEN Switzerland AG rembourse, dans le cadre d’un traitement par BLINCYTO et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix de fabrique à partir du 52ème emballage de BLINCYTO. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l’administration du traitement.",AMGEN Switzerland AG,company_rembourse,unknown,,unknown,greater_than,2.0,cycles,"[{""type"": ""greater_than"", ""value"": 2, ""unit"": ""cycles"", ""match"": ""> 2 cycles""}]",0,0,0,"[""BLINCYTO""]"
256,3388,412,BLINCYTO.03,Blincyto,"Si BLINCYTO doit être utilisé > 2 cycles, le laboratoire AMGEN Switzerland AG rembourse, dans le cadre d’un traitement par BLINCYTO et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix de fabrique à partir du 52ème emballage de BLINCYTO. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l’administration du traitement.",AMGEN Switzerland AG,company_rembourse,unknown,,unknown,greater_than,2.0,cycles,"[{""type"": ""greater_than"", ""value"": 2, ""unit"": ""cycles"", ""match"": ""> 2 cycles""}]",0,0,0,"[""BLINCYTO""]"
262,3450,412,BLINCYTO.03,Blincyto,"Si BLINCYTO doit être utilisé > 2 cycles, le laboratoire AMGEN Switzerland AG rembourse, dans le cadre d’un traitement par BLINCYTO et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix de fabrique à partir du 52ème emballage de BLINCYTO. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit être faite à partir du moment de l'administration.",AMGEN Switzerland AG,company_rembourse,unknown,,unknown,greater_than,2.0,cycles,"[{""type"": ""greater_than"", ""value"": 2, ""unit"": ""cycles"", ""match"": ""> 2 cycles""}]",0,0,0,"[""BLINCYTO""]"
54,1307,3589,BRAVTOVI,Braftovi,"Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Pierre Fabre Pharma SA rembourse à l’assureur-maladie pour chaque boîte de Mektovi achetée en association avec Braftovi un pourcentage de 38.60% sur le prix fabricant de chaque boîte de Mektovi (indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit être présentée à compter de la date d'administration.",Pierre Fabre Pharma SA,company_rembourse,percentage,38.6,per_box,,,,,0,0,0,"[""BRAFTOVI"", ""MEKTOVI""]"
252,3322,3589,BRAFTOVI.01,Braftovi,"Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Pierre Fabre Pharma SA rembourse à l’assureur-maladie pour chaque boîte de MEKTOVI achetée en association avec BRAFTOVI 31.75% sur le prix fabricant de chaque boîte de MEKTOVI (indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit être présentée à compter de la date d'administration.",Pierre Fabre Pharma SA,company_rembourse,percentage,31.75,per_box,,,,,0,0,0,"[""BRAFTOVI"", ""MEKTOVI""]"
282,3520,3589,BRAFTOVI2.01,Braftovi,"Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Pierre Fabre Pharma SA rembourse à l’assureur-maladie pour chaque emballage de MEKTOVI achetée en association avec BRAFTOVI 24.49% sur le prix de fabrique de chaque emballage de MEKTOVI (indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit être présentée à compter de la date d'administration.",Pierre Fabre Pharma SA,company_rembourse,percentage,24.49,per_box,,,,,0,0,0,"[""BRAFTOVI"", ""MEKTOVI""]"
287,3595,3589,BRAFTOVI2.01,Braftovi,"Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Pierre Fabre Pharma SA rembourse à l’assureur-maladie pour chaque emballage de MEKTOVI acheté en association avec BRAFTOVI 24.49% sur le prix de fabrique de chaque emballage de MEKTOVI (indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit être présentée à compter de la date d'administration.",Pierre Fabre Pharma SA,company_rembourse,percentage,24.49,per_box,,,,,0,0,0,"[""BRAFTOVI"", ""MEKTOVI""]"
128,2114,3875,CABAZ ACCORD,Cabazitaxel Accord,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Accord, la firme Accord Healthcare sa remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Accord administrée pour le 1er cycle en termes de prix public.",la firme Accord Healthcare sa,company_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL ACCORD""]"
135,2141,3875,CABAZACCORD1,Cabazitaxel Accord,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Accord, la firme Accord Healthcare SA remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Accord administrée pour le 1er cycle en termes de prix public.",Accord Healthcare SA,company_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL ACCORD""]"
306,3822,3875,CABAZACCORD2,Cabazitaxel Accord,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Accord, la firme Accord Healthcare SA remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Accord administrée pour le 1er cycle en termes de prix public.",Accord Healthcare SA,company_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL ACCORD""]"
253,3323,4181,CABAZ.LAB.01,Cabazitaxel Labatec,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Labatec, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Labatec administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL LABATEC""]"
307,3823,4181,CABAZ.LAB.02,Cabazitaxel Labatec,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Labatec, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Labatec administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL LABATEC""]"
224,3126,4142,CABAZITSA.01,Cabazitaxel Sandoz,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Sandoz, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Sandoz administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL SANDOZ""]"
308,3824,4142,CABAZITSA.02,Cabazitaxel Sandoz,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Sandoz, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Sandoz administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL SANDOZ""]"
248,3277,4172,CABAZ.SPI.01,Cabazitaxel Spirig HC,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Spirig HC, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Spirig HC administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL SPIRIG HC""]"
309,3825,4172,CABAZ.SPI.02,Cabazitaxel Spirig HC,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Spirig HC, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Spirig HC administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL SPIRIG HC""]"
238,3219,4155,CABAZ.VIA_01,Cabazitaxel Viatris,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Viatris, la firme Mylan Pharma GmbH remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Viatris administrée pour le 1er cycle en termes de prix public.",Mylan Pharma GmbH,company_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL VIATRIS""]"
310,3826,4155,CABAZ.VIA_02,Cabazitaxel Viatris,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel Viatris, la firme Mylan Pharma GmbH remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel Viatris administrée pour le 1er cycle en termes de prix public.",Mylan Pharma GmbH,company_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL VIATRIS""]"
208,2976,4071,CABAZITTE.01,Cabazitaxel-Teva,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel-Teva, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel-Teva administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL-TEVA""]"
311,3827,4071,CABAZITTE.02,Cabazitaxel-Teva,"En cas d'arrêt de la thérapie avant le 2ème cycle de Cabazitaxel-Teva, la titulaire de l'autorisation remboursera au payeur, sur demande de l'assureur, les coûts de la dose de Cabazitaxel-Teva administrée pour le 1er cycle en termes de prix public.",,titulaire_rembourse,unknown,,unknown,,,,,1,0,0,"[""CABAZITAXEL-TEVA""]"
325,4044,4329,CABLIVI.01,Cablivi,"Sanofi-Aventis (Suisse) SA rembourse à l'assureur-maladie auprès duquel la personne était assurée au moment de la remise du médicament, dès la première demande de l'assureur, une part déterminée du prix de fabrique pour chaque emballage remis de CABLIVI.",Sanofi-Aventis (Suisse) SA,company_rembourse,unknown,,per_box,,,,,0,0,0,"[""CABLIVI""]"
2,233,728,COTELLIC2,Cotellic,"Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, l’entreprise Roche Pharma (Suisse) SA rembourse pour l’association Zelboraf et Cotellic la somme de CHF 3’581.40 à l’assureur-maladie pour chaque boîte de Cotellic achetée (=indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,3.0,per_box,,,,,0,0,0,"[""ZELBORAF"", ""COTELLIC""]"
29,1081,728,COTELLIC3,Cotellic,"Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, l’entreprise Roche Pharma (Suisse) SA rembourse pour l’association Zelboraf et Cotellic le taux de 55.59% sur le prix de fabrique de Cotellic à l’assureur-maladie pour chaque boîte de Cotellic achetée (=indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,percentage,55.59,per_box,,,,,0,0,0,"[""ZELBORAF"", ""COTELLIC""]"
82,1658,728,COTELLIC4,Cotellic,"Sur demande de l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, Roche Pharma (Suisse) SA rembourse à l’assureur-maladie, pour chaque boîte de COTELLIC achetée pour le traitement associant ZELBORAF et COTELLIC (= indicateur pour un cycle de traitement), un pourcentage fixe du prix départ usine de la boîte de COTELLIC.",Roche Pharma (Suisse) SA,company_rembourse,full_refund_pex,,per_box,n_cycles,1.0,cycles,"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]",0,0,0,"[""ZELBORAF"", ""COTELLIC""]"
239,3225,728,COTEL_ZEL.01,Cotellic,"Sur demande de l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, Roche Pharma (Suisse) SA rembourse à l’assureur-maladie, pour chaque boîte de COTELLIC achetée pour le traitement associant ZELBORAF et COTELLIC (= indicateur pour un cycle de traitement), 36.15% du prix départ usine de la boîte de COTELLIC. La taxe sur la valeur ajoutée ne peut pas être remboursée en plus de cette part du prix départ usine.",Roche Pharma (Suisse) SA,company_rembourse,percentage,36.15,per_box,n_cycles,1.0,cycles,"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]",0,0,0,"[""ZELBORAF"", ""COTELLIC""]"
47,1279,758,CYRAMZA2,Cyramza,"Pour chaque boîte de Cyramza achetée, Eli Lilly (Suisse) SA rembourse une partie fixe du prix de fabrication à l’assurance-maladie, auprès de laquelle la personne est assurée au moment de la réception du traitement, à la première demande de l’assureur.",Eli Lilly (Suisse) SA,company_rembourse,undisclosed_fixed,,per_box,,,,,0,0,0,"[""CYRAMZA""]"
125,2100,758,CYRAMZA2,Cyramza,"Pour chaque emballage de Cyramza achetée, Eli Lilly (Suisse) SA rembourse une partie fixe du prix de fabrication à l’assurance-maladie, auprès de laquelle la personne est assurée au moment de l'achat, à la première demande de l’assureur.",Eli Lilly (Suisse) SA,company_rembourse,undisclosed_fixed,,per_box,,,,,0,0,0,"[""CYRAMZA""]"
312,3830,758,CYRAMZA.02,Cyramza,"Pour chaque emballage de Cyramza achetée, Eli Lilly (Suisse) SA rembourse une partie fixe du prix de fabrication à l’assurance-maladie, auprès de laquelle la personne est assurée au moment de l'achat, à la première demande de l’assureur.",Eli Lilly (Suisse) SA,company_rembourse,undisclosed_fixed,,per_box,,,,,0,0,0,"[""CYRAMZA""]"
3,247,788,DARZALEX,Darzalex,"Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.",Janssen-Cilag AG,company_rembourse,cost_refund,,unknown,not_beyond,4.0,weeks,"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]",0,0,0,"[""DARZALEX""]"
28,1065,788,DARZALEX2,Darzalex,"Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.",Janssen-Cilag AG,company_rembourse,cost_refund,,unknown,not_beyond,4.0,weeks,"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]",0,0,0,"[""DARZALEX""]"
