cashback_segment_id,segment_id,limitation_id,preparation_id,limitation_code,product_name,indication_name,indication_code,cashback_extract,cashback_company,detection_patterns,rule_calc_type,rule_calc_value,rule_unit,rule_threshold_type,rule_threshold_value,rule_threshold_unit,rule_thresholds_all,rule_cond_treatment_stop,rule_cond_adverse_effects,rule_cond_treatment_failure,rule_cotreatments,indication_name_fr,segment_order
167,558,2352,244,ARANESP6,Aranesp,Myelodysplastisches Syndrom der Risikogruppen low oder intermediate-1: 17807.3,17807.02,"Dans le cadre du traitement de patients atteints de syndromes myélodysplasiques, Amgen Switzerland SA rembourse 20.55% du prix de sortie d’usine pour chaque emballage d’Aranesp, sur demande de l’assureur-maladie auprès duquel la personne assurée était assurée au moment de l’administration. Le remboursement de la TVA ne peut pas être exigé en sus de ces montants. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.",Amgen Switzerland SA,company_rembourse,percentage,20.55,per_box,,,,,0,0,0,"[""ARANESP""]",Syndromes myélodysplasiques des groupes à risque low ou intermédiate-1: 17807.3,0
266,1217,3100,4127,ASPA21557.01,Aspaveli,Behandlung von Erwachsenen mit paroxysmaler nächtlicher Hämoglobinurie (PNH),21557.01,"En cas d’interruption du traitement après le deuxième mois de traitement, Swedish Orphan Biovitrum AG rembourse, à la première demande de l’assureur maladie auprès duquel la personne était assurée au moment de l’achat, l’intégralité du dernier emballage d’ASPAVELI commandé (valable à partir du 9e flacon) au prix départ usine de CHF 3’042.36 pour l’emballage de 1 pièce et de CHF 24‘338. La TVA ne peut pas être récupérée en plus de cette part du prix départ usine.",Swedish Orphan Biovitrum AG,company_rembourse,chf_fixed,3.0,unknown,from_box,9.0,boxes,"[{""type"": ""from_box"", ""value"": 9, ""unit"": ""boxes"", ""match"": ""à partir du 9e flacon""}]",1,0,0,"[""ASPAVELI""]",Traitement des adultes atteints d’hémoglobinurie paroxystique nocturne (HPN),0
367,1886,3957,4127,ASPAVELI.01,Aspaveli,Behandlung von Erwachsenen mit paroxysmaler nächtlicher Hämoglobinurie (PNH),21557.01,"En cas d’interruption du traitement après le deuxième mois de traitement, Swedish Orphan Biovitrum AG rembourse, à la première demande de l’assureur maladie auprès duquel la personne était assurée au moment de l’achat, l’intégralité du dernier emballage d’ASPAVELI commandé (valable à partir du 9e flacon) au prix départ usine de CHF 2'856.30 pour l’emballage de 1 pièce et de CHF 22'850.40 pour l’emballage de 8 pièces. La TVA ne peut pas être récupérée en plus de cette part du prix départ usine. La demande de remboursement doit être faite dès l’interruption définitive du traitement.",Swedish Orphan Biovitrum AG,company_rembourse,chf_fixed,2.0,unknown,from_box,9.0,boxes,"[{""type"": ""from_box"", ""value"": 9, ""unit"": ""boxes"", ""match"": ""à partir du 9e flacon""}]",1,0,0,"[""ASPAVELI""]",Traitement des adultes atteints d’hémoglobinurie paroxystique nocturne (HPN),0
203,863,2740,314,AVASTIN.03,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.85,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,0
234,1131,2962,314,AVASTIN.03,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.85,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,0
204,864,2741,314,AVASTIN.04,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.45 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.45,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,0
235,1132,2963,314,AVASTIN.04,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.45 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.45,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,0
336,1446,3515,314,AVASTIN.09,Avastin,Kombinationstherapie mit Lynparza (Olaparib),18082.09,"À la première demande de l’assurance-maladie auprès de laquelle la personne concernée est assurée au moment de l’achat, le titulaire de l’autorisation de AVASTIN rembourse à cette caisse une part fixe du prix départ usine pour tout emballage de AVASTIN acheté et utilisé en association avec Lynparza .",,titulaire_rembourse,full_refund_pex,,unknown,,,,,0,0,0,"[""LYNPARZA"", ""AVASTIN""]",Traitement en association avec Lynparza (olaparib),1
267,1218,3121,314,AVASTIN2.03,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.56 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.56,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,0
268,1219,3122,314,AVASTIN2.04,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.39 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.39,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,0
1,5,139,314,AVASTIN22017,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 1,39 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,1.39,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,2
2,6,139,314,AVASTIN22017,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0,51 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.51,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,3
323,1350,3384,314,AVASTIN3.03,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.50 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.5,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,0
324,1351,3385,314,AVASTIN3.04,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.38 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.38,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,0
5,37,1038,314,AVASTIN42018,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.85,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,2
36,136,1565,314,AVASTIN42018,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.85,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,2
76,268,1998,314,AVASTIN42018,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.85,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,2
6,38,1038,314,AVASTIN42018,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.45 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.45,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,3
37,137,1565,314,AVASTIN42018,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.45 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.45,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,3
77,269,1998,314,AVASTIN42018,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.45 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.45,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,3
123,438,2208,314,AVASTIN52022,Avastin,Nierenzellkarzinom,18082.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.85,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome rénal,2
124,439,2208,314,AVASTIN52022,Avastin,Mammakarzinom,18082.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.45 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Roche Pharma (Suisse) SA,company_rembourse,chf_fixed,0.45,per_mg,,,,,0,0,1,"[""AVASTIN""]",Carcinome mammaire,3
125,443,2210,314,AVASTINHCC,Avastin,AVASTIN in Kombination mit Atezolizumab (TECENTRIQ) zur Behandlung des inoperablen oder metastasierten hepatozellulären Karzinoms (HCC),18082.08,"En ce qui concerne le remboursement d’AVASTIN dans cette indication respecter également la limitation suivante: Le titulaire de l’autorisation rembourse à l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, et sur première demande de celui-ci, une part définie du prix départ usine pour chaque boîte d'AVASTIN en association avec de l'atézolizumab (TECENTRIQ) acquise pour l’indication du traitement du CHC.",,titulaire_rembourse,full_refund_pex,,per_box,,,,,0,0,0,"[""AVASTIN"", ""TECENTRIQ""]",AVASTIN en association avec l’atezolizumab (TECENTRIQ) pour le traitement du carcinome hépatocellulaire inopérable ou métastatique (CHC),0
236,1136,2967,314,AVASTINHCC,Avastin,AVASTIN in Kombination mit Atezolizumab (TECENTRIQ) zur Behandlung des inoperablen oder metastasierten hepatozellulären Karzinoms (HCC),18082.08,"En ce qui concerne le remboursement d’AVASTIN dans cette indication respecter également la limitation suivante: Le titulaire de l’autorisation rembourse à l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, et sur première demande de celui-ci, une part définie du prix départ usine pour chaque boîte d'AVASTIN en association avec de l'atézolizumab (TECENTRIQ) acquise pour l’indication du traitement du CHC.",,titulaire_rembourse,full_refund_pex,,per_box,,,,,0,0,0,"[""AVASTIN"", ""TECENTRIQ""]",AVASTIN en association avec l’atezolizumab (TECENTRIQ) pour le traitement du carcinome hépatocellulaire inopérable ou métastatique (CHC),0
269,1220,3123,3825,BEVACIZU2.03,Bevacizumab-Teva,Nierenzellkarzinom,21264.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.27 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.27,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome rénal,0
270,1221,3124,3825,BEVACIZU2.04,Bevacizumab-Teva,Mammakarzinom,21264.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.10 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.1,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome mammaire,0
205,874,2751,3825,BEVACIZUM.03,Bevacizumab-Teva,Nierenzellkarzinom,21264.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.64 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.64,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome rénal,0
237,1139,2970,3825,BEVACIZUM.03,Bevacizumab-Teva,Nierenzellkarzinom,21264.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.64 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.64,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome rénal,0
206,875,2752,3825,BEVACIZUM.04,Bevacizumab-Teva,Mammakarzinom,21264.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.34 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.34,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome mammaire,0
238,1140,2971,3825,BEVACIZUM.04,Bevacizumab-Teva,Mammakarzinom,21264.04,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.34 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.34,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome mammaire,0
337,1457,3519,3825,BEVACIZUM.09,Bevacizumab-Teva,Kombinationstherapie mit Lynparza (Olaparib),21264.09,"À la première demande de l’assurance-maladie auprès de laquelle la personne concernée est assurée au moment de l’achat, le titulaire de l’autorisation de BEVACIZUMAB-TEVA rembourse à cette caisse une part fixe du prix départ usine pour tout emballage de BEVACIZUMAB-TEVA acheté et utilisé en association avec Lynparza.",,titulaire_rembourse,full_refund_pex,,unknown,,,,,0,0,0,"[""LYNPARZA"", ""BEVACIZUMAB-TEVA""]",Traitement en association avec Lynparza (olaparib),1
417,2141,4400,3825,BEVACIZUM.10,Bevacizumab-Teva,BEVACIZUMAB-TEVA in Kombination mit Trifluridin/Tipiracil (LONSURF) zur Behandlung des metastasierten kolorektalen Karzinom (KRK),21264.10,"En ce qui concerne le remboursement de BEVACIZUMAB-TEVA dans cette indication respecter également la limitation suivante: Le titulaire de l’autorisation rembourse à l’assureur-maladie auprès duquel était assurée la personne au moment de l’achat, et sur première demande de celui-ci, une part définie du prix départ usine pour chaque boîte de BEVACIZUMAB-TEVA en association avec de Trifluridin/Tipiracil (LONSURF) acquise pour l’indication du traitement du CCR.",,titulaire_rembourse,full_refund_pex,,per_box,,,,,0,0,0,"[""BEVACIZUMAB-TEVA"", ""LONSURF""]",BEVACIZUMAB-TEVA en association avec Trifluridin/Tipiracil (LONSURF) pour le traitement d'un cancer colorectal métastatique (CCR),0
74,258,1978,3825,BEVACIZUMAB,Bevacizumab-Teva,Nierenzellkarzinom,21264.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.64 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.64,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome rénal,2
78,281,2002,3825,BEVACIZUMAB,Bevacizumab-Teva,Nierenzellkarzinom,21264.03,"Dans cette indication, sur demande de l’assureur-maladie chez qui la personne était assurée au moment de l’achat, Teva Pharma SA rembourse pour le traitement Fr. 0.64 par mg de Bevacizumab-Teva. En cas de prescription médicale appropriée, Bevacizumab-Teva est remboursé jusqu’à progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.",Teva Pharma SA,company_rembourse,chf_fixed,0.64,per_mg,,,,,0,0,1,"[""BEVACIZUMAB-TEVA""]",Carcinome rénal,2
