id;company;calc_type;calc_value;unit;threshold_type;threshold_value;threshold_unit;thresholds_all;thresholds_count;treatment_stop;adverse_effects;treatment_failure;cotreatments;cashback_extract
535;Novartis Pharma Suisse SA;percentage;39.6;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Novartis Pharma Suisse SA rembourse à l’assureur-maladie chaque boite de Mekinist achetée (indicateur d’un cycle de traitement) pour l’association avec Tafinlar au taux de 39,60 % sur le prix de fabrique par boîte. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
645;Bristol-Myers Squibb SA;chf_fixed;2.0;per_cycle;;;;;0;0;0;0;;Pour la phase de traitement combiné, Bristol-Myers Squibb SA rembourse la caisse maladie, à la demande de la caisse maladie à laquelle la personne assurée est inscrite au moment de la visite, pour chaque patient, Fr. 2'875.70 par cycle combiné manifestement administré. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
675;Roche Roche Pharma (Suisse) SA;chf_fixed;737.0;per_box;;;;;0;0;0;0;"[""PERJETA"", ""HERCEPTIN""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, l’entreprise Roche Roche Pharma (Suisse) SA rembourse pour l’association Perjeta et Herceptin la somme de CHF 737 à l’assureur-maladie pour chaque boîte de Perjeta achetée. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
772;CELGENE GmbH;percentage;20.62;per_box;;;;;0;0;0;0;"[""REVLIMID"", ""CARFILZOMIB"", ""ARAVA""]";Sur demande de l'assureur maladie chez lequel la personne assurée était assurée lorsque REVLIMID lui a été délivré, CELGENE GmbH rembourse à cet assureur maladie 20,62 % du prix départ usine de chaque boîte de REVLIMID. La demande de remboursement soumise par l'assureur maladie dans le cadre de la thérapie d'entretien par REVLIMID administrée après la polythérapie par carfilzomib et REVLIMID n'est admissible que si la personne assurée a reçu auparavant au moins 12 cycles complets de polythérapie par carfilzomib plus REVLIMID. Une demande de remboursement de la TVA en plus des montants à rembourser n'est pas admissible.
773;CELGENE GmbH;percentage;24.59;per_box;;;;;0;0;0;0;"[""REVLIMID"", ""ELOTUZUMAB"", ""ARAVA""]";Sur demande de l'assureur maladie chez lequel la personne assurée était assurée lorsque REVLIMID lui a été délivré, CELGENE GmbH rembourse à cet assureur maladie 24.59% du prix départ usine de chaque boîte de REVLIMID. La demande de remboursement soumise par l'assureur maladie pour la combinaison d’elotuzumab et REVLIMID n'est admissible que si la personne assurée a reçu auparavant les deux médicaments au même temps. Une demande de remboursement de la TVA en plus des montants à rembourser n'est pas admissible.
844;Bayer (Schweiz) AG;full_refund;;unknown;;;;;0;0;1;0;"[""STIVARGA""]";En cas d’arrêt définitif du traitement dû à des effets indésirables liés à STIVARGA survenus au cours des 21 jours suivant le début du traitement, Bayer (Schweiz) AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
859;Novartis Pharma Suisse SA;percentage;39.6;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Novartis Pharma Suisse SA rembourse à l’assureur-maladie chaque boite de Mekinist achetée (indicateur d’un cycle de traitement) pour l’association avec Tafinlar au taux de 39,60 % sur le prix de fabrique par boîte. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
971;Astellas Pharma SA;full_refund;;unknown;days_after;10;days;"[{""type"": ""days_after"", ""value"": 10, ""unit"": ""days"", ""match"": ""dix jours suivant""}, {""type"": ""within_days"", ""value"": 10, ""unit"": ""days"", ""match"": ""dans les dix jours""}, {""type"": ""within_first"", ""value"": 10, ""unit"": ""days"", ""match"": ""dans les dix jours""}]";3;1;1;0;;Au cas où des effets secondaires imposent l’arrêt du traitement dans les dix jours suivant son instauration, Astellas Pharma SA rembourse à l’assureur-maladie les coûts de l’emballage complet.
984;MSD Merck Sharp & Dohme AG;chf_fixed;9.0;unknown;treatment_of_duration;16;weeks;"[{""type"": ""treatment_of_duration"", ""value"": 16, ""unit"": ""weeks"", ""match"": ""traitement de 16 semaines""}]";1;0;0;0;"[""ZEPATIER""]";Lors d'un traitement de 16 semaines avec Zepatier, à la demande de la caisse maladie chez qui la personne assurée était affiliée au moment de la perception, MSD Merck Sharp & Dohme AG rembourse le prix de fabrique de Fr. 9’825.75 du quatrième emballage administré de manière démontrable. La taxe sur la valeur ajoutée ne peut pas être récupérée en sus de ce montant.
986;Target BioScience SA;unknown;;unknown;;;;;0;0;0;0;;Target BioScience SA rembourse l’indium 111 et l’yttrium 90 aux partenaires de distribution (Mallinckrodt Suisse SA ou CBI Medical Products Vertriebs GmbH).
1007;Janssen-Cilag AG;full_refund;;unknown;;;;;0;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Janssen-Cilag AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
1008;Janssen-Cilag AG;full_refund;;unknown;;;;;0;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Janssen-Cilag AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
1013;Si BESPONSA;full_refund_pex;;unknown;from_cycle;4;cycles;"[{""type"": ""from_cycle"", ""value"": 4, ""unit"": ""cycles"", ""match"": ""à partir du 4e cycle""}, {""type"": ""more_than"", ""value"": 3, ""unit"": ""cycles"", ""match"": ""plus de 3 cycles""}]";2;0;0;0;"[""BESPONSA""]";Si BESPONSA doit être utilisé pour plus de 3 cycles, l’entreprise Pfizer AG rembourse, dans le cadre d’un traitement par BESPONSA et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix départ usine à partir du 4e cycle ou à partir du 11e emballage de BESPONSA. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.
1034;La société Alexion Pharma GmbH;percentage;5.0;per_box;;;;;0;0;0;0;"[""SOLIRIS""]";La société Alexion Pharma GmbH rembourse, dans le cadre du traitement contre le SHUa par Soliris, à la demande de l’assurance maladie auprès de laquelle la personne était assurée au moment de l'achat, 5% du prix de vente départ usine pour chaque paquet de Soliris acheté. La TVA ne peut pas être réclamée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l'administration.
1036;Janssen-Cilag AG;full_refund;;unknown;;;;;0;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Janssen-Cilag AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
1037;Janssen-Cilag AG;full_refund;;unknown;;;;;0;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Janssen-Cilag AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
1038;Roche Pharma (Suisse) SA;chf_fixed;0.85;per_mg;;;;;0;0;0;1;"[""AVASTIN""]";Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 0.85 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1043;Takeda Pharma AG;percentage;37.96;per_box;;;;;0;0;0;0;"[""NINLARO""]";Takeda Pharma AG rembourse 37.96% % du prix de fabrique pour chaque emballage de Ninlaro acheté dans le cadre du traitement combiné de Ninlaro avec le lénalidomide, sur demande de l’assureur-maladie auprès duquel la personne assurée était assurée au moment de l’administration. Le remboursement de la taxe sur la valeur ajoutée ne peut pas être exigé en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.
1047;Bristol-Myers Squibb SA;chf_fixed;2.0;per_cycle;;;;;0;0;0;0;;Pour la phase de traitement combiné, Bristol-Myers Squibb SA rembourse la caisse maladie, à la demande de la caisse maladie à laquelle la personne assurée est inscrite au moment de la visite, pour chaque patient, Fr. 2'690.17 par cycle combiné manifestement administré. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1048;Bristol-Myers Squibb SA;percentage;31.77;per_box;;;;;0;0;0;0;"[""OPDIVO""]";Pour le traitement du carcinome à cellules rénales, Bristol-Myers Squibb SA rembourse, sur demande, à l’assurance maladie auprès de laquelle le patient était assuré au moment où il a reçu le médicament, 31,77% du prix de fabrique par boîte ou par mg d’OPDIVO administré de manière prouvée pour un CCR. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1049;Bristol-Myers Squibb SA;percentage;4.75;per_box;;;;;0;0;0;0;"[""OPDIVO""]";Pour le traitement du carcinome épidermoïde de la tête et du cou, Bristol-Myers Squibb SA rembourse, sur demande, à l’assurance maladie auprès de laquelle le patient était assuré au moment où il a reçu le médicament, 4,75% du prix de fabrique par boîte ou par mg d’OPDIVO administré de manière prouvée pour un CETC. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1050;Bristol-Myers Squibb SA;percentage;4.75;per_mg;;;;;0;0;0;0;"[""OPDIVO""]";Pour le traitement du lymphome de Hodgkin classique, Bristol-Myers Squibb SA rembourse pour chaque patient, après demande de l’assurance-maladie auprès de laquelle la personne concernée était assurée au moment de l’achat, 4,75% du prix de fabrique par paquet LHc ou par mg d’OPDIVO® effectivement administré. La taxe sur la valeur ajoutée ne peut pas être exigée en sus du prix de fabrication. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1052;CELGENE GmbH;percentage;24.59;per_box;;;;;0;0;0;0;"[""REVLIMID"", ""ELOTUZUMAB"", ""ARAVA""]";Sur demande de l'assureur maladie chez lequel la personne assurée était assurée lorsque REVLIMID lui a été délivré, CELGENE GmbH rembourse à cet assureur maladie 24.59% du prix départ usine de chaque boîte de REVLIMID. La demande de remboursement soumise par l'assureur maladie pour la combinaison d’elotuzumab et REVLIMID n'est admissible que si la personne assurée a reçu auparavant les deux médicaments au même temps. Une demande de remboursement de la TVA en plus des montants à rembourser n'est pas admissible.
1053;CELGENE GmbH;percentage;23.5;per_box;;;;;0;0;0;0;"[""REVLIMID"", ""IXAZOMIB"", ""ARAVA""]";Sur demande de l'assureur maladie chez lequel la personne assurée était assurée lorsque REVLIMID lui a été délivré, CELGENE GmbH rembourse à cet assureur maladie 23.50% du prix de fabrique de chaque boîte de REVLIMID. La demande de remboursement soumise par l'assureur maladie pour la combinaison d’ixazomib et REVLIMID n'est admissible que si la personne assurée a reçu auparavant les deux médicaments au même temps. Une demande de remboursement de la TVA en plus des montants à rembourser n'est pas admissible.
1059;Roche Pharma (Suisse) SA;chf_fixed;452.33;per_box;;;;;0;0;0;0;"[""PERJETA"", ""HERCEPTIN""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, l’entreprise Roche Pharma (Suisse) SA rembourse pour l’association Perjeta et Herceptin la somme de Fr. 452.33 à l’assureur-maladie pour chaque boîte de Perjeta achetée en cas d’un cancer du sein métastatique. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.
1060;Roche Pharma (Suisse) SA;chf_fixed;4485.95;per_flacon;flat_fee_unique;;flat_fee;"[{""type"": ""flat_fee_unique"", ""value"": null, ""unit"": ""flat_fee"", ""match"": ""montant forfaitaire unique""}]";1;0;0;0;"[""HERCEPTIN"", ""PERJETA""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat (début du traitement), l’entreprise Roche Pharma (Suisse) SA rembourse un montant forfaitaire unique sur la combinaison de Perjeta et Herceptin de Fr. 4485.95 par cas de néoadjuvant ou patiente. Le remboursement est indépendant du nombre réel de cycles thérapeutiques d’administration de néoadjuvant et ne peut être combiné à des remboursements supplémentaires par flacon. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit en règle générale avoir lieu dans les 6 mois après réception de la facture.
1065;Janssen-Cilag AG;cost_refund;;unknown;not_beyond;4;weeks;"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]";1;0;0;0;"[""DARZALEX""]";Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.
1075;Bristol-Myers Squibb SA;chf_fixed;5.0;per_cycle;;;;;0;0;0;0;"[""YERVOY""]";Pour la phase de traitement combiné, Bristol-Myers Squibb SA rembourse la caisse maladie, à la demande de la caisse maladie à laquelle la personne assurée est inscrite au moment de la visite, pour chaque patient, Fr. 5'690.34 par cycle combiné avec 3 mg/kg YERVOY manifestement administré. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1081;Roche Pharma (Suisse) SA;percentage;55.59;per_box;;;;;0;0;0;0;"[""ZELBORAF"", ""COTELLIC""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, l’entreprise Roche Pharma (Suisse) SA rembourse pour l’association Zelboraf et Cotellic le taux de 55.59% sur le prix de fabrique de Cotellic à l’assureur-maladie pour chaque boîte de Cotellic achetée (=indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1088;MSD Merck Sharp & Dohme AG;percentage;3.6;per_box;;;;;0;0;0;0;;Pour le traitement du lymphome de Hodgkin classique et sur demande de l'assurance maladie auprès duquel la personne était assurée au moment de la prescription, MSD Merck Sharp & Dohme AG rembourse 3,60% du prix de fabrique par emballage resp. La TVA ne peut pas être récupérée en plus de cette partie du prix de fabrique.
1090;Novartis Pharma Suisse SA;percentage;20.92;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Novartis Pharma Suisse SA rembourse à l’assureur-maladie chaque boite de Mekinist achetée (indicateur d’un cycle de traitement) pour l’association avec Tafinlar au taux de 20,92 % sur le prix de fabrique par boîte. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1093;Novartis Pharma Suisse SA;percentage;20.92;per_box;n_cycles;1;cycles;"[{""type"": ""n_cycles"", ""value"": 1, ""unit"": ""cycles"", ""match"": ""un cycle de traitement""}]";1;0;0;0;"[""TAFINLAR"", ""MEKINIST""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, la société Novartis Pharma Suisse SA rembourse à l’assureur-maladie chaque boite de Mekinist achetée (indicateur d’un cycle de traitement) pour l’association avec Tafinlar au taux de 20,92 % sur le prix de fabrique par boîte. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1098;Shire Switzerland GmbH;percentage;100.0;per_box;;;;;0;0;0;0;;Sur demande de l’assureur maladie chez lequel la personne assurée était assurée au moment de la délivrance du médicament, la société Shire Switzerland GmbH sise à 6300 Zoug rembourse à cet assureur maladie, pour chaque emballage supplémentaire, 100% du prix départ usine de l’emballage le plus avantageux. Une demande de remboursement de la TVA en plus des montants à rembourser n’est pas admissible. La demande de remboursement doit normalement être soumise dans les six mois.
1105;Bayer (Schweiz) AG;full_refund;;unknown;;;;;0;0;1;0;"[""STIVARGA""]";Pour toutes les indications, en cas d’arrêt définitif du traitement dû à des effets indésirables liés à STIVARGA survenus au cours des 21 jours suivant le début du traitement, Bayer (Schweiz) AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
1120;Bayer (Schweiz) AG;full_refund;;unknown;;;;;0;0;1;0;"[""STIVARGA""]";Pour toutes les indications, en cas d’arrêt définitif du traitement dû à des effets indésirables liés à STIVARGA survenus au cours des 21 jours suivant le début du traitement, Bayer (Schweiz) AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
1128;La société Alexion Pharma GmbH;percentage;5.0;per_box;;;;;0;0;0;0;"[""SOLIRIS""]";La société Alexion Pharma GmbH rembourse, dans le cadre du traitement contre le SHUa par Soliris, à la demande de l’assurance maladie auprès de laquelle la personne était assurée au moment de l'achat, 5% du prix de vente départ usine pour chaque paquet de Soliris acheté. La TVA ne peut pas être réclamée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l'administration.
1136;Novartis Pharma Schweiz AG;chf_fixed;522.47;per_month;;;;;0;0;0;0;"[""AIMOVIG""]";À la demande de l’assureur maladie auprès duquel la personne était assurée au point de référence respectif, la société Novartis Pharma Schweiz AG rembourse, pour le traitement de patients recevant 140 mg d’AIMOVIG par mois, Fr. 522.47 pour deux solutions injectables à 70 mg en stylo pré-rempli AIMOVIG. La TVA ne peut pas faire l’objet d’une demande de remboursement en plus de ce montant. La demande de remboursement doit généralement être effectuée au cours des 6 mois suivant la facturation.
1152;Bristol-Myers Squibb SA;chf_fixed;5.0;per_cycle;;;;;0;0;0;0;"[""YERVOY""]";Pour la phase de traitement combiné, Bristol-Myers Squibb SA rembourse la caisse maladie, à la demande de la caisse maladie à laquelle la personne assurée est inscrite au moment de la visite, pour chaque patient, Fr. 5'690.34 par cycle combiné avec 3 mg/kg YERVOY manifestement administré. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1153;Bristol-Myers Squibb SA;percentage;31.77;per_box;;;;;0;0;0;0;"[""OPDIVO""]";Pour le traitement du carcinome à cellules rénales, Bristol-Myers Squibb SA rembourse, sur demande, à l’assurance maladie auprès de laquelle le patient était assuré au moment où il a reçu le médicament, 31,77% du prix de fabrique par boîte ou par mg d’OPDIVO administré de manière prouvée pour un CCR. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1154;Bristol-Myers Squibb SA;percentage;4.75;per_box;;;;;0;0;0;0;"[""OPDIVO""]";Pour le traitement du carcinome épidermoïde de la tête et du cou, Bristol-Myers Squibb SA rembourse, sur demande, à l’assurance maladie auprès de laquelle le patient était assuré au moment où il a reçu le médicament, 4,75% du prix de fabrique par boîte ou par mg d’OPDIVO administré de manière prouvée pour un CETC. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1155;Bristol-Myers Squibb SA;percentage;4.75;per_mg;;;;;0;0;0;0;"[""OPDIVO""]";Pour le traitement du lymphome de Hodgkin classique, Bristol-Myers Squibb SA rembourse pour chaque patient, après demande de l’assurance-maladie auprès de laquelle la personne concernée était assurée au moment de l’achat, 4,75% du prix de fabrique par paquet LHc ou par mg d’OPDIVO® effectivement administré. La taxe sur la valeur ajoutée ne peut pas être exigée en sus du prix de fabrication. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
1169;Janssen-Cilag AG;full_refund;;unknown;;;;;0;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Janssen-Cilag AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.
